Gene1	Gene1Samples	Gene2	Gene2Samples	Common	P_value	Adjusted_p
SELP	15	ZCCHC5	11	2	1.57E-01	6.26E-01
SGCZ	13	SLC8A3	20	2	3.18E-01	6.98E-01
SGCZ	13	SPHKAP	39	3	4.70E-01	7.59E-01
SGCZ	13	TMEM132D	50	3	1.00E+00	1.00E+00
SGCZ	13	TP53	197	11	6.92E-01	8.84E-01
SGCZ	13	TRIM63	8	1	3.80E-01	6.98E-01
SGCZ	13	UNC93A	8	1	3.80E-01	6.98E-01
SGCZ	13	ZCCHC5	11	1	4.84E-01	7.62E-01
SLC8A3	20	SPHKAP	39	6	1.22E-01	5.88E-01
SLC8A3	20	TGM3	10	1	1.00E+00	1.00E+00
SLC8A3	20	TMEM132D	50	10	3.50E-03	2.67E-01
SLC8A3	20	TP53	197	19	3.25E-01	6.98E-01
SLC8A3	20	TRIM63	8	1	5.26E-01	7.85E-01
SLC8A3	20	TTR	5	2	6.24E-02	4.95E-01
SLC8A3	20	UNC93A	8	1	5.26E-01	7.85E-01
SLC8A3	20	ZCCHC5	11	2	2.49E-01	6.79E-01
SPHKAP	39	TGM3	10	1	1.00E+00	1.00E+00
SPHKAP	39	TMEM132D	50	11	2.95E-01	6.91E-01
SPHKAP	39	TP53	197	34	1.00E+00	1.00E+00
SPHKAP	39	TRIM63	8	2	6.28E-01	8.53E-01
SPHKAP	39	TTR	5	1	1.00E+00	1.00E+00
SPHKAP	39	UNC93A	8	2	6.28E-01	8.53E-01
SPHKAP	39	ZCCHC5	11	3	4.06E-01	7.14E-01
TCP10L2	7	TGM3	10	2	3.24E-02	4.41E-01
TCP10L2	7	TMEM132D	50	1	1.00E+00	1.00E+00
TCP10L2	7	TP53	197	7	5.98E-01	8.36E-01
TCP10L2	7	TRIM63	8	1	2.24E-01	6.79E-01
TGM3	10	TMEM132D	50	1	6.95E-01	8.84E-01
TGM3	10	TP53	197	10	3.65E-01	6.98E-01
TGM3	10	TRIM63	8	2	4.22E-02	4.67E-01
TGM3	10	UNC93A	8	1	3.06E-01	6.91E-01
TMEM132D	50	TP53	197	48	3.30E-02	4.41E-01
TMEM132D	50	TRIM63	8	2	6.88E-01	8.84E-01
TMEM132D	50	TTR	5	2	3.02E-01	6.91E-01
TMEM132D	50	UNC93A	8	1	1.00E+00	1.00E+00
TMEM132D	50	ZCCHC5	11	4	2.63E-01	6.85E-01
TP53	197	TRIM63	8	8	6.02E-01	8.36E-01
TP53	197	TTR	5	4	5.22E-01	7.85E-01
TP53	197	UNC93A	8	7	1.00E+00	1.00E+00
TP53	197	ZCCHC5	11	11	3.68E-01	6.98E-01
TRIM63	8	ZCCHC5	11	1	3.31E-01	6.98E-01
